#,USER,ENS,TWITTER,INFO,ADDRESSES,NETWORKS
1,@vitalik.eth,vitalik.eth,https://twitter.com/VitalikButerin,"ETH foundation, influencer, researcher, cult",0xd8da6bf26964af9d7eed9e03e53415d37aa96045,"erc, bsc, poly, heco, ftm, avax, optm, arb"
 , , , , ,0xc1e42f862d202b4a0ed552c1145735ee088f6ccf,"erc, bsc, poly, ftm, avax, arb, optm"
2,@zhusu_3ac, ,https://twitter.com/zhusu,"3AC founder, enterpreteur, Deribit, uncommon core",0x4862733B5FdDFd35f35ea8CCf08F5045e57388B3,"erc, bsc, poly, heco, ftm, avax"
 , , , , ,0x4093fbe60ab50ab79a5bd32fa2adec255372f80e,erc
 , , , , ,0x3ba21b6477f48273f41d241aa3722ffb9e07e247,erc
3,alameda, ,https://twitter.com/SBF_Alameda,ftx foundation,0xfa34bf9307f2f68a70b4369bb2f522b2b2bb222b,"erc, bsc, poly, avax"
 , , , , ,0x84d34f4f83a87596cd3fb6887cff8f17bf5a7b83,"erc, bsc, poly, avax, heco, ftm, optm, arb"
4,blocktower, , ,fund,0x43adde52c6c142912662d3e427709db5cac9b811,"erc, bsc, poly, avax, heco, ftm"
5,a16z, , , VC fund,0x66b870ddf78c975af5cd8edc6de25eca81791de1,"erc, bsc, poly, avax, heco, ftm, optm, arb"
6,etherum_nickname, , ,#1 followers on debank.com,0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,"erc, bsc, poly, avax, heco, ftm, optm, arb, gns, aur"
7,@Amelisa.eth,amelisa.eth, ,"small anon whale, sharp alt plays",0x3c9002cdb61c56b89467d94a2d93235dfd698089,"erc, bsc, poly, avax, ftm, optm, arb"
8,tetranode, , , ,0x9c5083dd4838e120dbeac44c052179692aa5dac5,"erc, bsc, poly, heco, ftm, optm, arb"
9,alt_degen, , ,"smaller alt degen play wallet, name is made up",0x1d3db45f912c74de554409c1ad0d27dbcb26b726,"erc, bsc, poly, heco, ftm, avax, arb"
10,@obvio.eth,obvio.eth, ,whale on eth,0x179456bf16752FE5Eb8789148E5C98Eb39D87Fe5,"erc, bsc, poly, heco, ftm, avax, arb"
11,@wed.eth,wed.eth, ,nft (eth) trader,0xAB6cA2017548A170699890214bFd66583A0C1754,"erc, bsc, poly, heco, avax"
12,ftm_whale,, ,whale on fantom,0xebf4fbb9c81b84dd5cf89bc75588e5d0018501b3,"erc, ftm"
13,parafi,, ,fund,0x4655b7ad0b5f5bacb9cf960bbffceb3f0e51f363,"erc, heco, avax"
 , , , , ,0x59cee32f3ffaeabc0d4991ac7569ebad09e1a7d4,erc
14,gmx_degen,, ,"degen who was early in gmx, active small cap investor",0x1e7127c81c8a58661a0811f026b6be66533934be,erc
15,devmons.eth,devmons.eth, ,"gOHM investor, NFT whale, nansen smart money",0x5efb87c9ff9da9ba445dfef71f0446682352c15d,"erc, bsc, gns, poly, ftm, avx, arb, optm"
16,Arca, , ,whale,0x23a5efe19aa966388e132077d733672cf5798c03,erc
17,Sigil fund, , ,gOHM investor,0xe2e4f2a725e42d0f0ef6291f46c430f963482001,"erc, optm, avax, bsc"
 , , , , ,0x0561a78021d8966ddd20c28c6c4318d8675ee1f0,"erc, arb, avax, poly"
18,Stani Kulechov, ,https://twitter.com/StaniKulechov,CEO and founder of Aave,0xf5fb27b912d987b5b6e02a1b1be0c1f0740e2c6f,"erc, avax, bsc, poly"
19,punkify.eth,punkify.eth, ,whale,0xaf297dec752c909092a117a932a8ca4aaaff9795,"erc, bsc, arb, optm, poly, ftm, fuse, one"
20,analytico.eth,analytico.eth, ,algo trading firm,0xa0f75491720835b36edc92d06ddc468d201e9b73,"erc, optm, poly, avax, bsc, arb, ftm"
21,XMON_wallet, ,https://twitter.com/<full_address>,xmon investor,0xf6e2c94a609ca303964b65ec991a1a0d2991b961,"erc, aur, ftm"
 , , , , ,0x39eea0258a5c3e3c5092b2f910371d124592a7fb,"erc, ftm"
22,GMX_wallet, , , ,<0x332a4fb9603ecd65f3a4e321e8c10826c46049af,"arb, erc, ftm"
 , , , , ,0x5058352e527694a554966154397af9ab79d75461,"poly, arb"
23,JPEG_wallet, , , ,0xb0dafc466871c29662e5cbf4227322c96a8ccbe9,"erc, poly, avax, arb"
 , , , , ,0xf52bad5e97658f04b5228d58f428e98f9139d23f,erc
